ref,value
ADC1,PCM1808
C1,10uF
C2,10uF
C3,0.1uF
C4,0.1uF
C5,0.1uF
C6,0.1uF
C7,10uF
C8,10uF
C9,910pF
C10,910pF
C11,CP1
C12,CP1
C13,C
C14,C
C15,CP1
C16,CP1
C17,CP1
DAC1,PCM1754
J1,JACK_ST_2SW_PROPER
J2,JACK_ST_2SW_PROPER
PAP1,PAPILIO_WING
PAP2,PAPILIO_WING
PAP3,PAPILIO_WING
PLL1,PLL1705
R1,7.15k
R2,7.15k
R3,R
R4,R
TP1,CONN_1
TP2,CONN_1
TP3,CONN_1
TP4,CONN_1
U1,TL082
X1,CRYSTAL
